phrase;font_family;size;color_hex;style_tag;overrides
a. Viens-tu à la piscine ?;HypatiaSansPro;13;#231f20;regular;a.|HypatiaSansPro|13|#ec008c|bold
b. Cours-tu vite ?;HypatiaSansPro;13;#231f20;regular;b.|HypatiaSansPro|13|#ec008c|bold
c. Finis-tu le parcours ?;HypatiaSansPro;13;#231f20;regular;c.|HypatiaSansPro|13|#ec008c|bold
d. Prends-tu ton manteau ?;HypatiaSansPro;13;#231f20;regular;d.|HypatiaSansPro|13|#ec008c|bold
8;HelveticaNeueLTStd;11.6767;#ffffff;regular;
À l'oral;HypatiaSansPro;12;#a4258f;bold;
Imagine un dialogue;HypatiaSansPro;13;#231f20;bold;
entre les deux personnages.;HypatiaSansPro;13;#231f20;bold;
9782210505377_001-144.indb 11;Helvetica;6;#000000;regular;
28/03/2019 12:17;Helvetica;6;#000000;regular;
